Timestamp,Address,q_w,q_x,q_y,q_z
511567041444.2331,d4:ca:6e:f1:82:8c,0.8338333964347839,0.11386760324239731,-0.37053412199020386,0.3930146396160126
511567058114.56647,d4:ca:6e:f1:82:8c,0.833831250667572,0.11387529969215393,-0.37053611874580383,0.39301493763923645
511567074784.89984,d4:ca:6e:f1:82:8c,0.8337156176567078,0.11397362500429153,-0.3705054819583893,0.3932605981826782
511567091455.2332,d4:ca:6e:f1:82:8c,0.8337487578392029,0.11393182724714279,-0.3705175817012787,0.3931910991668701
511567108125.5666,d4:ca:6e:f1:82:8c,0.8337894082069397,0.11388558149337769,-0.37053656578063965,0.393100380897522
511567124795.89996,d4:ca:6e:f1:82:8c,0.8338965773582458,0.1137806847691536,-0.3705699145793915,0.3928721249103546
511567141466.23334,d4:ca:6e:f1:82:8c,0.833918035030365,0.11375752836465836,-0.3705776631832123,0.39282599091529846
511567158136.5667,d4:ca:6e:f1:82:8c,0.8338371515274048,0.11383656412363052,-0.3705524802207947,0.39299821853637695
511567174773.199,d4:ca:6e:f1:82:8c,0.8338457942008972,0.11383116990327835,-0.37055504322052,0.39297911524772644
511567191443.53235,d4:ca:6e:f1:82:8c,0.8338513970375061,0.113824263215065,-0.3705587387084961,0.3929659426212311
511567208113.8657,d4:ca:6e:f1:82:8c,0.8338817954063416,0.11378377676010132,-0.37057608366012573,0.39289677143096924
511567224784.1991,d4:ca:6e:f1:82:8c,0.8338966369628906,0.11377619206905365,-0.3705684542655945,0.39287468791007996
511567241454.5325,d4:ca:6e:f1:82:8c,0.8339043259620667,0.11375577002763748,-0.37057286500930786,0.3928597867488861
511567258124.86584,d4:ca:6e:f1:82:8c,0.83389812707901,0.1137564554810524,-0.370578408241272,0.39286795258522034
511567274795.1992,d4:ca:6e:f1:82:8c,0.8338952660560608,0.11376406252384186,-0.370577871799469,0.3928723633289337
511567291465.5326,d4:ca:6e:f1:82:8c,0.834015965461731,0.11364645510911942,-0.37061411142349243,0.39261573553085327
511567308135.86597,d4:ca:6e:f1:82:8c,0.8339948654174805,0.1136612519621849,-0.3706211447715759,0.39264973998069763
511567324806.19934,d4:ca:6e:f1:82:8c,0.8339341878890991,0.11371767520904541,-0.3706066906452179,0.3927759826183319
511567341476.5327,d4:ca:6e:f1:82:8c,0.833885669708252,0.11375917494297028,-0.3705858290195465,0.39288634061813354
511567358146.8661,d4:ca:6e:f1:82:8c,0.8338062763214111,0.11383388936519623,-0.37055709958076477,0.3930601477622986
511567374817.19946,d4:ca:6e:f1:82:8c,0.8339326977729797,0.113723024725914,-0.37059104442596436,0.39279189705848694
511567391487.53284,d4:ca:6e:f1:82:8c,0.8339143991470337,0.1137390062212944,-0.37058404088020325,0.3928329646587372
511567408157.8662,d4:ca:6e:f1:82:8c,0.8339135646820068,0.11374452710151672,-0.3705824911594391,0.3928346335887909
511567424828.1996,d4:ca:6e:f1:82:8c,0.8339350819587708,0.1137198880314827,-0.3705836534500122,0.39279502630233765
511567441498.53296,d4:ca:6e:f1:82:8c,0.8339096307754517,0.11374041438102722,-0.37057700753211975,0.39284926652908325
511567458168.86633,d4:ca:6e:f1:82:8c,0.8338755965232849,0.11377295851707458,-0.3705606758594513,0.39292746782302856
511567474829.499,d4:ca:6e:f1:82:8c,0.8338948488235474,0.11374936252832413,-0.37057265639305115,0.39288216829299927
